,Predicted Price,Real Price
2016-12-05,30.7264644081,32.65
2016-12-06,31.2047997484,33.01
2016-12-07,30.0404892703,33.12
2016-12-08,32.7857979058,33.19
2016-12-09,31.0305550379,33.03
2016-12-12,30.438915261,31.38
2016-12-13,30.2136038948,30.61
2016-12-14,29.9430441953,30.0
2016-12-15,30.6162754146,29.88
2016-12-16,32.1498297436,30.64
2016-12-19,31.2953795151,29.9
2016-12-20,29.4474103658,31.94
2016-12-21,29.4797250775,30.8
2016-12-22,29.4459323711,30.0
2016-12-23,30.4049733186,29.85
2016-12-26,30.7919972888,29.83
2016-12-27,29.9417708834,29.81
